x,y,code,title,major_group
10.099688,-0.42290953,2352,Special Needs Teachers,2
9.69975,-0.33206055,2353,Other Language Teachers,2
9.622335,-0.15082759,2354,Other Music Teachers,2
9.683603,-0.06295993,2355,Other Arts Teachers,2
11.10145,2.4984894,2356,Information Technology Trainers,2
9.88096,-0.24233249,2359,Teaching Professionals Not Elsewhere Classified,2
8.225393,1.4767174,24,Business and Administration Professionals,2
7.3284655,2.093549,241,Finance Professionals,2
7.3651996,1.8960108,2411,Accountants,2
7.4083962,2.205164,2412,Financial and Investment Advisers,2
7.279969,1.9779859,2413,Financial Analysts,2
8.33885,1.1990862,242,Administration Professionals,2
7.9227643,1.7706764,2421,Management and Organization Analysts,2
8.330161,1.0375943,2422,Policy Administration Professionals,2
8.48625,1.3008864,2423,Personnel and Careers Professionals,2
9.72264,0.07559826,2424,Training and Staff Development Professionals,2
8.000678,1.7286572,243,"Sales, Marketing and Public Relations Professionals",2
7.8681183,1.7295963,2431,Advertising and Marketing Professionals,2
8.11209,1.3871505,2432,Public Relations Professionals,2
10.776969,2.5551383,2433,Technical and Medical Sales Professionals (excluding ICT),2
10.831569,2.5983727,2434,Information and Communications Technology Sales Professionals,2
11.108997,2.4322755,25,Information and Communications Technology Professionals,2
10.579945,2.2453258,251,Software and Applications Developers and Analysts,2
10.646716,2.273955,2511,Systems Analysts,2
10.666972,2.2472994,2512,Software Developers,2
10.762749,2.1951704,2513,Web and Multimedia Developers,2
10.664674,2.2532406,2514,Applications Programmers,2
10.311981,2.1449687,2519,Software and Applications Developers and Analysts Not Elsewhere Classified,2
10.660889,2.25036,252,Database and Network Professionals,2
10.533267,2.2257802,2521,Database Designers and Administrators,2
11.545236,3.132867,2522,Systems Aministrators,2
10.980989,2.3471084,2523,Computer Network Professionals,2
10.309685,2.072713,2529,Database and Network Professionals Not Elsewhere Classified,2
8.711827,0.75267285,26,"Legal, Social and Cultural Professionals",2
8.3965645,0.688302,261,Legal Professionals,2
8.337695,0.68901265,2611,Lawyers,2
8.094664,0.5911221,2612,Judges,2
8.549826,0.54496694,2619,Legal Professionals Not Elsewhere Classified,2
9.16573,0.95503837,262,"Librarians, Archivists and Curators",2
9.287962,0.9529333,2621,Archivists and Curators,2
9.284737,1.1122859,2622,Librarians and Related Information Professionals,2
8.7403,0.5769053,263,Social and Religious Professionals,2
7.107103,1.9042013,2631,Economists,2
8.921578,0.42488953,2632,"Sociologists, Anthropologists and Related Professionals",2
8.893698,0.37539726,2633,"Philosophers, Historians and Political Scientists",2
10.275396,0.74405825,2634,Psychologists,2
8.946258,0.82041407,2635,Social Work and Counselling Professionals,2
8.89223,0.56404155,2636,Religious Professionals,2
9.207277,0.34524247,264,"Authors, Journalists and Linguists",2
9.366831,0.4676117,2641,Authors and Related Writers,2
9.87021,1.0293331,2642,Journalists,2
9.196456,0.31284037,2643,"Translators, Interpreters and Other Linguists",2
9.6011,0.5438443,265,Creative and Performing Artists,2
9.738856,0.8406953,2651,Visual Artists,2
9.568836,0.42085642,2652,"Musicians, Singers and Composers",2
9.688816,0.58867675,2653,Dancers and Choreographers,2
9.587584,0.6295919,2654,"Film, Stage and Related Directors and Producers",2
9.773082,0.89757484,2655,Actors,2
10.634717,1.5239422,2656,"Announcers on Radio, Television and Other Media",2
9.52807,0.55398375,2659,Creative and Performing Artists Not Elsewhere Classified,2
11.690515,2.2683582,3,Technicians and Associate Professionals,3
11.921276,3.1064878,31,Science and Engineering Associate Professionals,3
11.919075,3.2424974,311,Physical and Engineering Science Technicians,3
11.78008,3.2170372,3111,Chemical and Physical Science Technicians,3
11.484457,4.000566,3112,Civil Engineering Technicians,3
12.3696,3.5633063,3113,Electrical Engineering Technicians,3
12.400793,3.47905,3114,Electronics Engineering Technicians,3
12.143961,3.830661,3115,Mechanical Engineering Technicians,3
11.720904,3.3656805,3116,Chemical Engineering Technicians,3
11.689298,4.874906,3117,Mining and metallurgical technicians,3
