x,y,code,title,major_group
7.036722,9.544553,2353,Other Language Teachers,2
6.9620986,9.587548,2354,Other Music Teachers,2
7.1068363,9.714255,2355,Other Arts Teachers,2
11.216815,7.9384265,2356,Information Technology Trainers,2
8.020002,7.675802,2359,Teaching Professionals Not Elsewhere Classified,2
6.113564,7.5404196,24,Business and Administration Professionals,2
6.0477962,6.894914,241,Finance Professionals,2
6.3719387,6.6660943,2411,Accountants,2
5.8985133,7.04824,2412,Financial and Investment Advisers,2
6.1958003,6.934984,2413,Financial Analysts,2
6.039383,7.53207,242,Administration Professionals,2
5.9918466,7.486752,2421,Management and Organization Analysts,2
6.3412895,7.883368,2422,Policy Administration Professionals,2
6.1089244,7.7607527,2423,Personnel and Careers Professionals,2
6.035569,7.830532,2424,Training and Staff Development Professionals,2
5.1905723,7.025138,243,"Sales, Marketing and Public Relations Professionals",2
5.191067,7.201996,2431,Advertising and Marketing Professionals,2
5.33011,7.1658673,2432,Public Relations Professionals,2
10.2661295,8.273645,2433,Technical and Medical Sales Professionals (excluding ICT),2
11.174531,7.9730067,2434,Information and Communications Technology Sales Professionals,2
11.298381,8.138401,25,Information and Communications Technology Professionals,2
11.124083,8.393974,251,Software and Applications Developers and Analysts,2
11.263947,8.438148,2511,Systems Analysts,2
11.282057,8.388421,2512,Software Developers,2
11.049719,8.2451315,2513,Web and Multimedia Developers,2
11.233013,8.3085165,2514,Applications Programmers,2
8.1949415,7.3732395,2519,Software and Applications Developers and Analysts Not Elsewhere Classified,2
11.416649,8.312999,252,Database and Network Professionals,2
11.339297,8.466467,2521,Database Designers and Administrators,2
11.348821,8.488017,2522,Systems Aministrators,2
11.408373,8.1846075,2523,Computer Network Professionals,2
8.190205,7.3925457,2529,Database and Network Professionals Not Elsewhere Classified,2
7.375597,7.9564533,26,"Legal, Social and Cultural Professionals",2
7.273905,7.796286,261,Legal Professionals,2
7.111506,7.6716785,2611,Lawyers,2
7.1143494,7.8063564,2612,Judges,2
7.6080265,7.6114507,2619,Legal Professionals Not Elsewhere Classified,2
7.2783575,5.884114,262,"Librarians, Archivists and Curators",2
7.2018213,5.8800635,2621,Archivists and Curators,2
7.2210817,5.9023924,2622,Librarians and Related Information Professionals,2
7.3536897,8.207692,263,Social and Religious Professionals,2
6.506742,6.811125,2631,Economists,2
7.6515713,6.724121,2632,"Sociologists, Anthropologists and Related Professionals",2
7.6406827,6.8570695,2633,"Philosophers, Historians and Political Scientists",2
7.3159556,8.201602,2634,Psychologists,2
7.2785,8.340419,2635,Social Work and Counselling Professionals,2
7.3773746,8.184321,2636,Religious Professionals,2
7.947793,6.3446536,264,"Authors, Journalists and Linguists",2
8.152568,6.2744617,2641,Authors and Related Writers,2
7.9981523,6.359856,2642,Journalists,2
7.672902,6.456726,2643,"Translators, Interpreters and Other Linguists",2
8.432452,6.2719693,265,Creative and Performing Artists,2
8.8961525,5.8415313,2651,Visual Artists,2
8.379653,6.319606,2652,"Musicians, Singers and Composers",2
8.402883,6.3406096,2653,Dancers and Choreographers,2
8.447624,6.3306274,2654,"Film, Stage and Related Directors and Producers",2
8.333604,6.274206,2655,Actors,2
8.04241,6.306534,2656,"Announcers on Radio, Television and Other Media",2
8.254813,7.0337887,2659,Creative and Performing Artists Not Elsewhere Classified,2
8.073957,7.910232,3,Technicians and Associate Professionals,3
8.179392,7.8178153,31,Science and Engineering Associate Professionals,3
9.888714,7.23061,311,Physical and Engineering Science Technicians,3
9.83631,7.2789726,3111,Chemical and Physical Science Technicians,3
10.587785,7.123197,3112,Civil Engineering Technicians,3
10.7687025,7.0725274,3113,Electrical Engineering Technicians,3
10.781775,7.0406256,3114,Electronics Engineering Technicians,3
10.749021,7.081936,3115,Mechanical Engineering Technicians,3
10.252271,7.171575,3116,Chemical Engineering Technicians,3
10.446647,4.662131,3117,Mining and metallurgical technicians,3
9.54843,4.731694,3118,Draughtspersons,3
8.584872,7.4218287,3119,Physical and Engineering Science Technicians Not Elsewhere Classified,3
4.855789,7.9694552,312,"Mining, Manufacturing and Construction Supervisors",3
4.82284,7.9969864,3121,Mining Supervisors,3
4.877505,7.893369,3122,Manufacturing Supervisors,3
